chimeraId,tokenId,producerId,productionLocation,productionDate,treeSpecies,imageUrl,parentId,divisionCount,productionMethod,salesPrice,ownerId,processingStatus,salesStatus
,1,1,三重県熊野市井戸町,2024/01/19,ヒノキ,,,6,採取,"2,785.00",15,未加工,取引済み
,2,1,三重県熊野市井戸町,2024/01/04,ヒノキ,,,8,採取,"2,197.00",16,未加工,取引済み
,3,2,高知県長岡郡本山町,2024/01/24,クヌギ,,,8,採取,"2,849.00",16,未加工,取引済み
,4,2,高知県長岡郡本山町,2024/01/26,ヒノキ,,,14,採取,"2,158.00",16,未加工,取引済み
,5,2,高知県長岡郡本山町,2024/01/08,アカマツ,,,8,採取,"2,276.00",17,未加工,取引済み
,6,3,岩手遠野市青笹町糠前,2024/01/04,スギ,,,7,採取,"2,606.00",17,未加工,取引済み
,7,3,岩手遠野市青笹町糠前,2024/01/21,コナラ,,,9,採取,"2,246.00",17,未加工,取引済み
,8,4,群馬県藤岡市鬼石,2024/01/21,ヒノキ,,,7,採取,"2,858.00",17,未加工,取引済み
,9,4,群馬県藤岡市鬼石,2024/01/05,ヒノキ,,,9,採取,"2,546.00",16,未加工,取引済み
,10,5,熊本県阿蘇郡南小国町,2024/01/15,スギ,,,12,採取,"2,317.00",16,未加工,取引済み
,11,6,北海道上川郡下川町,2024/01/10,ナラ,,,9,採取,"2,583.00",17,未加工,取引済み
,12,7,鹿児島県肝属郡錦江町,2024/01/25,タモ,,,13,採取,"2,699.00",17,未加工,取引済み
,13,8,岐阜県美濃市曽代,2024/01/12,ヒノキ,,,7,採取,"2,489.00",17,未加工,取引済み
,14,7,鹿児島県肝属郡錦江町,2024/01/24,クス,,,11,採取,"2,493.00",17,未加工,取引済み
,15,9,長野県大町市平海の口,2024/01/16,ヤマザクラ,,,5,採取,"2,673.00",16,未加工,取引済み
,16,9,長野県大町市平海の口,2024/01/01,クリ,,,5,採取,"2,604.00",17,未加工,取引済み
,17,10,鳥取県八頭郡智頭町,2024/01/16,スギ,,,12,採取,"2,269.00",17,未加工,取引済み
,18,6,北海道上川郡下川町,2024/01/05,タモ,,,7,採取,"2,994.00",15,未加工,取引済み
,19,10,鳥取県八頭郡智頭町,2024/01/16,スギ,,,12,採取,"2,533.00",17,未加工,取引済み
,20,11,岡山県英田郡西粟倉村,2024/01/04,スギ,,,11,採取,"2,691.00",17,未加工,取引済み
,21,8,岐阜県美濃市曽代,2024/01/31,ヒノキ,,,8,採取,"2,115.00",16,未加工,取引済み
,22,11,岡山県英田郡西粟倉村,2024/01/23,スギ,,,15,採取,"2,241.00",17,未加工,取引済み
,23,12,長野県下伊那郡松川町,2024/01/13,カキ,,,6,採取,"2,052.00",17,未加工,取引済み
,24,12,長野県下伊那郡松川町,2024/01/17,カキ,,,2,採取,"2,088.00",15,未加工,取引済み
,25,13,和歌山県田辺市新庄町,2024/01/28,ヒノキ,,,8,採取,"2,773.00",16,未加工,取引済み
,26,13,和歌山県田辺市新庄町,2024/01/13,ウバメガシ,,,3,採取,"2,996.00",16,未加工,取引済み
,27,14,神奈川県箱根町,2023/01/13,スギ,,,7,採取,"2,275.00",15,未加工,取引済み
,28,14,神奈川県箱根町,2023/01/13,スギ,,,4,採取,"2,310.00",16,未加工,取引済み
0-22,29,15,神奈川県藤沢市遠藤,2024/02/03,,,1,,切り出し,608.00,20,未加工,取引済み
1-15,30,15,神奈川県藤沢市遠藤,2024/02/06,,,1,,切り出し,610.00,19,未加工,取引済み
1-46,31,15,神奈川県藤沢市遠藤,2024/02/01,,,1,,切り出し,544.00,20,未加工,取引済み
2-17,32,15,神奈川県藤沢市遠藤,2024/02/04,,,1,,切り出し,683.00,19,未加工,取引済み
2-27,33,15,神奈川県藤沢市遠藤,2024/02/01,,,1,,切り出し,576.00,20,未加工,取引済み
3-42,34,15,神奈川県藤沢市遠藤,2024/02/08,,,1,,切り出し,691.00,19,未加工,取引済み
0-16,35,16,神奈川県藤沢市遠藤,2024/02/05,,,2,,切り出し,337.00,19,未加工,取引済み
0-56,36,16,神奈川県藤沢市遠藤,2024/02/03,,,2,,切り出し,351.00,20,未加工,取引済み
0-60,37,16,神奈川県藤沢市遠藤,2024/02/04,,,2,,切り出し,371.00,18,未加工,取引済み
1-6,38,16,神奈川県藤沢市遠藤,2024/02/04,,,2,,切り出し,346.00,19,未加工,取引済み
1-19,39,16,神奈川県藤沢市遠藤,2024/02/10,,,2,,切り出し,364.00,20,未加工,取引済み
2-6,40,16,神奈川県藤沢市遠藤,2024/02/02,,,2,,切り出し,310.00,19,未加工,取引済み
2-48,41,16,神奈川県藤沢市遠藤,2024/02/03,,,2,,切り出し,361.00,19,未加工,取引済み
3-43,42,16,神奈川県藤沢市遠藤,2024/02/06,,,2,,切り出し,368.00,18,未加工,取引済み
0-50,43,16,神奈川県藤沢市遠藤,2024/02/04,,,3,,切り出し,531.00,20,未加工,取引済み
0-58,44,16,神奈川県藤沢市遠藤,2024/02/06,,,3,,切り出し,398.00,19,未加工,取引済み
1-0,45,16,神奈川県藤沢市遠藤,2024/02/09,,,3,,切り出し,485.00,20,未加工,取引済み
1-13,46,16,神奈川県藤沢市遠藤,2024/02/01,,,3,,切り出し,412.00,18,未加工,取引済み
1-31,47,16,神奈川県藤沢市遠藤,2024/02/07,,,3,,切り出し,505.00,20,未加工,取引済み
1-44,48,16,神奈川県藤沢市遠藤,2024/02/02,,,3,,切り出し,428.00,20,未加工,取引済み
2-38,49,16,神奈川県藤沢市遠藤,2024/02/02,,,3,,切り出し,498.00,18,未加工,取引済み
2-44,50,16,神奈川県藤沢市遠藤,2024/02/02,,,3,,切り出し,518.00,19,未加工,取引済み
0-15,51,16,神奈川県藤沢市遠藤,2024/02/01,,,4,,切り出し,195.00,18,未加工,取引済み
0-28,52,16,神奈川県藤沢市遠藤,2024/02/06,,,4,,切り出し,188.00,19,未加工,取引済み
0-30,53,16,神奈川県藤沢市遠藤,2024/02/01,,,4,,切り出し,184.00,20,未加工,取引済み
0-55,54,16,神奈川県藤沢市遠藤,2024/02/02,,,4,,切り出し,197.00,18,未加工,取引済み
1-25,55,16,神奈川県藤沢市遠藤,2024/02/03,,,4,,切り出し,206.00,18,未加工,取引済み
1-45,56,16,神奈川県藤沢市遠藤,2024/02/04,,,4,,切り出し,182.00,20,未加工,取引済み
2-21,57,16,神奈川県藤沢市遠藤,2024/02/09,,,4,,切り出し,218.00,19,未加工,取引済み
2-31,58,16,神奈川県藤沢市遠藤,2024/02/08,,,4,,切り出し,180.00,19,未加工,取引済み
2-33,59,16,神奈川県藤沢市遠藤,2024/02/08,,,4,,切り出し,175.00,20,未加工,取引済み
2-57,60,16,神奈川県藤沢市遠藤,2024/02/02,,,4,,切り出し,185.00,19,未加工,取引済み
3-2,61,16,神奈川県藤沢市遠藤,2024/02/04,,,4,,切り出し,196.00,20,未加工,取引済み
3-7,62,16,神奈川県藤沢市遠藤,2024/02/06,,,4,,切り出し,211.00,20,未加工,取引済み
3-51,63,16,神奈川県藤沢市遠藤,2024/02/10,,,4,,切り出し,180.00,20,未加工,取引済み
3-56,64,16,神奈川県藤沢市遠藤,2024/02/10,,,4,,切り出し,226.00,19,未加工,取引済み
0-9,65,17,神奈川県藤沢市遠藤,2024/02/02,,,5,,切り出し,408.00,20,未加工,取引済み
0-25,66,17,神奈川県藤沢市遠藤,2024/02/06,,,5,,切り出し,332.00,18,未加工,取引済み
1-7,67,17,神奈川県藤沢市遠藤,2024/02/09,,,5,,切り出し,317.00,20,未加工,取引済み
1-43,68,17,神奈川県藤沢市遠藤,2024/02/02,,,5,,切り出し,320.00,18,未加工,取引済み
2-8,69,17,神奈川県藤沢市遠藤,2024/02/02,,,5,,切り出し,376.00,19,未加工,取引済み
3-12,70,17,神奈川県藤沢市遠藤,2024/02/06,,,5,,切り出し,405.00,18,未加工,取引済み
3-25,71,17,神奈川県藤沢市遠藤,2024/02/07,,,5,,切り出し,331.00,19,未加工,取引済み
3-37,72,17,神奈川県藤沢市遠藤,2024/02/05,,,5,,切り出し,395.00,19,未加工,取引済み
0-63,73,17,神奈川県藤沢市遠藤,2024/02/10,,,6,,切り出し,455.00,19,未加工,取引済み
1-48,74,17,神奈川県藤沢市遠藤,2024/02/06,,,6,,切り出し,429.00,20,未加工,取引済み
2-1,75,17,神奈川県藤沢市遠藤,2024/02/09,,,6,,切り出し,420.00,20,未加工,取引済み
2-46,76,17,神奈川県藤沢市遠藤,2024/02/04,,,6,,切り出し,547.00,19,未加工,取引済み
2-49,77,17,神奈川県藤沢市遠藤,2024/02/10,,,6,,切り出し,423.00,18,未加工,取引済み
3-11,78,17,神奈川県藤沢市遠藤,2024/02/03,,,6,,切り出し,431.00,18,未加工,取引済み
3-39,79,17,神奈川県藤沢市遠藤,2024/02/04,,,6,,切り出し,547.00,20,未加工,取引済み
0-18,80,17,神奈川県藤沢市遠藤,2024/02/01,,,7,,切り出し,313.00,20,未加工,取引済み
0-52,81,17,神奈川県藤沢市遠藤,2024/02/09,,,7,,切り出し,291.00,20,未加工,取引済み
1-3,82,17,神奈川県藤沢市遠藤,2024/02/04,,,7,,切り出し,349.00,19,未加工,取引済み
1-18,83,17,神奈川県藤沢市遠藤,2024/02/10,,,7,,切り出し,281.00,19,未加工,取引済み
2-3,84,17,神奈川県藤沢市遠藤,2024/02/05,,,7,,切り出し,341.00,20,未加工,取引済み
2-16,85,17,神奈川県藤沢市遠藤,2024/02/07,,,7,,切り出し,295.00,18,未加工,取引済み
2-34,86,17,神奈川県藤沢市遠藤,2024/02/08,,,7,,切り出し,362.00,20,未加工,取引済み
3-35,87,17,神奈川県藤沢市遠藤,2024/02/10,,,7,,切り出し,362.00,20,未加工,取引済み
3-41,88,17,神奈川県藤沢市遠藤,2024/02/05,,,7,,切り出し,333.00,19,未加工,取引済み
0-31,89,17,神奈川県藤沢市遠藤,2024/02/01,,,8,,切り出し,587.00,18,未加工,取引済み
0-35,90,17,神奈川県藤沢市遠藤,2024/02/07,,,8,,切り出し,473.00,18,未加工,取引済み
1-4,91,17,神奈川県藤沢市遠藤,2024/02/03,,,8,,切り出し,510.00,18,未加工,取引済み
1-21,92,17,神奈川県藤沢市遠藤,2024/02/02,,,8,,切り出し,608.00,18,未加工,取引済み
1-34,93,17,神奈川県藤沢市遠藤,2024/02/05,,,8,,切り出し,449.00,18,未加工,取引済み
2-47,94,17,神奈川県藤沢市遠藤,2024/02/08,,,8,,切り出し,548.00,20,未加工,取引済み
3-21,95,17,神奈川県藤沢市遠藤,2024/02/10,,,8,,切り出し,574.00,20,未加工,取引済み
0-6,96,16,神奈川県藤沢市遠藤,2024/02/09,,,9,,切り出し,331.00,20,未加工,取引済み
0-64,97,16,神奈川県藤沢市遠藤,2024/02/03,,,9,,切り出し,353.00,19,未加工,取引済み
1-32,98,16,神奈川県藤沢市遠藤,2024/02/09,,,9,,切り出し,387.00,18,未加工,取引済み
1-36,99,16,神奈川県藤沢市遠藤,2024/02/10,,,9,,切り出し,321.00,20,未加工,取引済み
2-5,100,16,神奈川県藤沢市遠藤,2024/02/05,,,9,,切り出し,423.00,18,未加工,取引済み
2-28,101,16,神奈川県藤沢市遠藤,2024/02/08,,,9,,切り出し,351.00,20,未加工,取引済み
2-50,102,16,神奈川県藤沢市遠藤,2024/02/08,,,9,,切り出し,318.00,18,未加工,取引済み
2-52,103,16,神奈川県藤沢市遠藤,2024/02/01,,,9,,切り出し,399.00,18,未加工,取引済み
3-1,104,16,神奈川県藤沢市遠藤,2024/02/04,,,9,,切り出し,415.00,19,未加工,取引済み
0-2,105,16,神奈川県藤沢市遠藤,2024/02/08,,,10,,切り出し,272.00,18,未加工,取引済み
0-40,106,16,神奈川県藤沢市遠藤,2024/02/02,,,10,,切り出し,251.00,19,未加工,取引済み
0-44,107,16,神奈川県藤沢市遠藤,2024/02/02,,,10,,切り出し,277.00,18,未加工,取引済み
0-54,108,16,神奈川県藤沢市遠藤,2024/02/07,,,10,,切り出し,222.00,19,未加工,取引済み
2-4,109,16,神奈川県藤沢市遠藤,2024/02/10,,,10,,切り出し,286.00,20,未加工,取引済み
2-23,110,16,神奈川県藤沢市遠藤,2024/02/05,,,10,,切り出し,259.00,18,未加工,取引済み
2-26,111,16,神奈川県藤沢市遠藤,2024/02/02,,,10,,切り出し,259.00,20,未加工,取引済み
2-43,112,16,神奈川県藤沢市遠藤,2024/02/08,,,10,,切り出し,286.00,19,未加工,取引済み
3-17,113,16,神奈川県藤沢市遠藤,2024/02/07,,,10,,切り出し,281.00,19,未加工,取引済み
3-19,114,16,神奈川県藤沢市遠藤,2024/02/06,,,10,,切り出し,283.00,20,未加工,取引済み
3-26,115,16,神奈川県藤沢市遠藤,2024/02/01,,,10,,切り出し,232.00,20,未加工,取引済み
3-40,116,16,神奈川県藤沢市遠藤,2024/02/06,,,10,,切り出し,233.00,20,未加工,取引済み
0-1,117,17,神奈川県藤沢市遠藤,2024/02/05,,,11,,切り出し,399.00,20,未加工,取引済み
0-3,118,17,神奈川県藤沢市遠藤,2024/02/05,,,11,,切り出し,427.00,20,未加工,取引済み
0-10,119,17,神奈川県藤沢市遠藤,2024/02/01,,,11,,切り出し,374.00,18,未加工,取引済み
0-39,120,17,神奈川県藤沢市遠藤,2024/02/09,,,11,,切り出し,430.00,19,未加工,取引済み
1-40,121,17,神奈川県藤沢市遠藤,2024/02/07,,,11,,切り出し,335.00,19,未加工,取引済み
2-15,122,17,神奈川県藤沢市遠藤,2024/02/10,,,11,,切り出し,405.00,20,未加工,取引済み
2-36,123,17,神奈川県藤沢市遠藤,2024/02/01,,,11,,切り出し,383.00,19,未加工,取引済み
3-38,124,17,神奈川県藤沢市遠藤,2024/02/03,,,11,,切り出し,355.00,19,未加工,取引済み
3-45,125,17,神奈川県藤沢市遠藤,2024/02/10,,,11,,切り出し,325.00,19,未加工,取引済み
0-8,126,17,神奈川県藤沢市遠藤,2024/02/02,,,12,,切り出し,282.00,19,未加工,取引済み
0-38,127,17,神奈川県藤沢市遠藤,2024/02/03,,,12,,切り出し,309.00,20,未加工,取引済み
0-57,128,17,神奈川県藤沢市遠藤,2024/02/02,,,12,,切り出し,266.00,19,未加工,取引済み
1-9,129,17,神奈川県藤沢市遠藤,2024/02/10,,,12,,切り出し,289.00,19,未加工,取引済み
1-35,130,17,神奈川県藤沢市遠藤,2024/02/10,,,12,,切り出し,234.00,19,未加工,取引済み
2-7,131,17,神奈川県藤沢市遠藤,2024/02/05,,,12,,切り出し,293.00,18,未加工,取引済み
2-10,132,17,神奈川県藤沢市遠藤,2024/02/06,,,12,,切り出し,246.00,20,未加工,取引済み
2-39,133,17,神奈川県藤沢市遠藤,2024/02/03,,,12,,切り出し,309.00,19,未加工,取引済み
2-51,134,17,神奈川県藤沢市遠藤,2024/02/02,,,12,,切り出し,241.00,18,未加工,取引済み
2-55,135,17,神奈川県藤沢市遠藤,2024/02/01,,,12,,切り出し,302.00,18,未加工,取引済み
3-5,136,17,神奈川県藤沢市遠藤,2024/02/05,,,12,,切り出し,301.00,20,未加工,取引済み
3-9,137,17,神奈川県藤沢市遠藤,2024/02/10,,,12,,切り出し,231.00,20,未加工,取引済み
3-23,138,17,神奈川県藤沢市遠藤,2024/02/04,,,12,,切り出し,275.00,20,未加工,取引済み
0-48,139,17,神奈川県藤沢市遠藤,2024/02/02,,,13,,切り出し,415.00,18,未加工,取引済み
0-49,140,17,神奈川県藤沢市遠藤,2024/02/07,,,13,,切り出し,451.00,19,未加工,取引済み
1-17,141,17,神奈川県藤沢市遠藤,2024/02/07,,,13,,切り出し,401.00,20,未加工,取引済み
1-47,142,17,神奈川県藤沢市遠藤,2024/02/10,,,13,,切り出し,456.00,19,未加工,取引済み
1-49,143,17,神奈川県藤沢市遠藤,2024/02/01,,,13,,切り出し,479.00,20,未加工,取引済み
3-49,144,17,神奈川県藤沢市遠藤,2024/02/02,,,13,,切り出し,405.00,20,未加工,取引済み
3-53,145,17,神奈川県藤沢市遠藤,2024/02/01,,,13,,切り出し,446.00,18,未加工,取引済み
0-5,146,17,神奈川県藤沢市遠藤,2024/02/05,,,14,,切り出し,318.00,18,未加工,取引済み
0-13,147,17,神奈川県藤沢市遠藤,2024/02/07,,,14,,切り出し,266.00,18,未加工,取引済み
1-2,148,17,神奈川県藤沢市遠藤,2024/02/05,,,14,,切り出し,320.00,20,未加工,取引済み
1-38,149,17,神奈川県藤沢市遠藤,2024/02/02,,,14,,切り出し,280.00,18,未加工,取引済み
2-2,150,17,神奈川県藤沢市遠藤,2024/02/10,,,14,,切り出し,313.00,20,未加工,取引済み
2-14,151,17,神奈川県藤沢市遠藤,2024/02/05,,,14,,切り出し,282.00,20,未加工,取引済み
2-18,152,17,神奈川県藤沢市遠藤,2024/02/07,,,14,,切り出し,332.00,20,未加工,取引済み
2-19,153,17,神奈川県藤沢市遠藤,2024/02/08,,,14,,切り出し,299.00,18,未加工,取引済み
2-35,154,17,神奈川県藤沢市遠藤,2024/02/06,,,14,,切り出し,327.00,18,未加工,取引済み
2-53,155,17,神奈川県藤沢市遠藤,2024/02/03,,,14,,切り出し,266.00,19,未加工,取引済み
3-22,156,17,神奈川県藤沢市遠藤,2024/02/02,,,14,,切り出し,314.00,19,未加工,取引済み
0-17,157,16,神奈川県藤沢市遠藤,2024/02/05,,,15,,切り出し,697.00,18,未加工,取引済み
1-16,158,16,神奈川県藤沢市遠藤,2024/02/08,,,15,,切り出し,679.00,18,未加工,取引済み
1-42,159,16,神奈川県藤沢市遠藤,2024/02/02,,,15,,切り出し,689.00,19,未加工,取引済み
3-55,160,16,神奈川県藤沢市遠藤,2024/02/10,,,15,,切り出し,646.00,20,未加工,取引済み
3-57,161,16,神奈川県藤沢市遠藤,2024/02/06,,,15,,切り出し,694.00,20,未加工,取引済み
0-45,162,17,神奈川県藤沢市遠藤,2024/02/09,,,16,,切り出し,682.00,20,未加工,取引済み
1-22,163,17,神奈川県藤沢市遠藤,2024/02/05,,,16,,切り出し,576.00,18,未加工,取引済み
1-30,164,17,神奈川県藤沢市遠藤,2024/02/06,,,16,,切り出し,665.00,20,未加工,取引済み
3-6,165,17,神奈川県藤沢市遠藤,2024/02/03,,,16,,切り出し,726.00,19,未加工,取引済み
3-16,166,17,神奈川県藤沢市遠藤,2024/02/07,,,16,,切り出し,704.00,20,未加工,取引済み
0-11,167,17,神奈川県藤沢市遠藤,2024/02/07,,,17,,切り出し,218.00,18,未加工,取引済み
0-21,168,17,神奈川県藤沢市遠藤,2024/02/09,,,17,,切り出し,236.00,19,未加工,取引済み
0-24,169,17,神奈川県藤沢市遠藤,2024/02/08,,,17,,切り出し,232.00,20,未加工,取引済み
0-42,170,17,神奈川県藤沢市遠藤,2024/02/10,,,17,,切り出し,252.00,18,未加工,取引済み
1-27,171,17,神奈川県藤沢市遠藤,2024/02/01,,,17,,切り出し,224.00,18,未加工,取引済み
2-9,172,17,神奈川県藤沢市遠藤,2024/02/01,,,17,,切り出し,262.00,18,未加工,取引済み
2-12,173,17,神奈川県藤沢市遠藤,2024/02/08,,,17,,切り出し,219.00,19,未加工,取引済み
2-20,174,17,神奈川県藤沢市遠藤,2024/02/05,,,17,,切り出し,261.00,18,未加工,取引済み
2-42,175,17,神奈川県藤沢市遠藤,2024/02/09,,,17,,切り出し,241.00,20,未加工,取引済み
3-0,176,17,神奈川県藤沢市遠藤,2024/02/05,,,17,,切り出し,259.00,19,未加工,取引済み
3-30,177,17,神奈川県藤沢市遠藤,2024/02/05,,,17,,切り出し,248.00,19,未加工,取引済み
3-52,178,17,神奈川県藤沢市遠藤,2024/02/08,,,17,,切り出し,238.00,19,未加工,取引済み
0-23,179,15,神奈川県藤沢市遠藤,2024/02/04,,,18,,切り出し,613.00,20,未加工,取引済み
1-12,180,15,神奈川県藤沢市遠藤,2024/02/03,,,18,,切り出し,505.00,18,未加工,取引済み
1-20,181,15,神奈川県藤沢市遠藤,2024/02/02,,,18,,切り出し,583.00,20,未加工,取引済み
1-28,182,15,神奈川県藤沢市遠藤,2024/02/10,,,18,,切り出し,621.00,18,未加工,取引済み
1-37,183,15,神奈川県藤沢市遠藤,2024/02/03,,,18,,切り出し,617.00,20,未加工,取引済み
3-36,184,15,神奈川県藤沢市遠藤,2024/02/02,,,18,,切り出し,635.00,18,未加工,取引済み
3-48,185,15,神奈川県藤沢市遠藤,2024/02/07,,,18,,切り出し,511.00,18,未加工,取引済み
0-19,186,17,神奈川県藤沢市遠藤,2024/02/07,,,19,,切り出し,251.00,18,未加工,取引済み
0-27,187,17,神奈川県藤沢市遠藤,2024/02/05,,,19,,切り出し,271.00,18,未加工,取引済み
0-32,188,17,神奈川県藤沢市遠藤,2024/02/01,,,19,,切り出し,280.00,20,未加工,取引済み
1-1,189,17,神奈川県藤沢市遠藤,2024/02/01,,,19,,切り出し,246.00,18,未加工,取引済み
1-8,190,17,神奈川県藤沢市遠藤,2024/02/02,,,19,,切り出し,278.00,18,未加工,取引済み
1-14,191,17,神奈川県藤沢市遠藤,2024/02/09,,,19,,切り出し,258.00,18,未加工,取引済み
1-41,192,17,神奈川県藤沢市遠藤,2024/02/02,,,19,,切り出し,253.00,20,未加工,取引済み
1-50,193,17,神奈川県藤沢市遠藤,2024/02/03,,,19,,切り出し,284.00,19,未加工,取引済み
2-13,194,17,神奈川県藤沢市遠藤,2024/02/02,,,19,,切り出し,286.00,19,未加工,取引済み
2-25,195,17,神奈川県藤沢市遠藤,2024/02/01,,,19,,切り出し,236.00,20,未加工,取引済み
3-14,196,17,神奈川県藤沢市遠藤,2024/02/04,,,19,,切り出し,306.00,20,未加工,取引済み
3-32,197,17,神奈川県藤沢市遠藤,2024/02/09,,,19,,切り出し,268.00,18,未加工,取引済み
0-7,198,17,神奈川県藤沢市遠藤,2024/02/03,,,20,,切り出し,317.00,19,未加工,取引済み
0-12,199,17,神奈川県藤沢市遠藤,2024/02/01,,,20,,切り出し,326.00,20,未加工,取引済み
0-14,200,17,神奈川県藤沢市遠藤,2024/02/08,,,20,,切り出し,345.00,19,未加工,取引済み
0-53,201,17,神奈川県藤沢市遠藤,2024/02/02,,,20,,切り出し,330.00,19,未加工,取引済み
1-11,202,17,神奈川県藤沢市遠藤,2024/02/09,,,20,,切り出し,365.00,20,未加工,取引済み
1-29,203,17,神奈川県藤沢市遠藤,2024/02/07,,,20,,切り出し,318.00,18,未加工,取引済み
1-51,204,17,神奈川県藤沢市遠藤,2024/02/06,,,20,,切り出し,336.00,18,未加工,取引済み
2-22,205,17,神奈川県藤沢市遠藤,2024/02/04,,,20,,切り出し,323.00,19,未加工,取引済み
2-29,206,17,神奈川県藤沢市遠藤,2024/02/09,,,20,,切り出し,336.00,18,未加工,取引済み
2-40,207,17,神奈川県藤沢市遠藤,2024/02/04,,,20,,切り出し,337.00,18,未加工,取引済み
3-10,208,17,神奈川県藤沢市遠藤,2024/02/07,,,20,,切り出し,360.00,19,未加工,取引済み
0-20,209,16,神奈川県藤沢市遠藤,2024/02/06,,,21,,切り出し,345.00,20,未加工,取引済み
0-29,210,16,神奈川県藤沢市遠藤,2024/02/03,,,21,,切り出し,346.00,20,未加工,取引済み
0-36,211,16,神奈川県藤沢市遠藤,2024/02/04,,,21,,切り出し,331.00,19,未加工,取引済み
0-37,212,16,神奈川県藤沢市遠藤,2024/02/01,,,21,,切り出し,306.00,20,未加工,取引済み
0-41,213,16,神奈川県藤沢市遠藤,2024/02/10,,,21,,切り出し,351.00,18,未加工,取引済み
2-0,214,16,神奈川県藤沢市遠藤,2024/02/10,,,21,,切り出し,385.00,19,未加工,取引済み
3-13,215,16,神奈川県藤沢市遠藤,2024/02/08,,,21,,切り出し,319.00,19,未加工,取引済み
3-46,216,16,神奈川県藤沢市遠藤,2024/02/05,,,21,,切り出し,293.00,19,未加工,取引済み
1-23,217,17,神奈川県藤沢市遠藤,2024/02/02,,,22,,切り出し,207.00,20,未加工,取引済み
2-11,218,17,神奈川県藤沢市遠藤,2024/02/09,,,22,,切り出し,219.00,18,未加工,取引済み
2-30,219,17,神奈川県藤沢市遠藤,2024/02/02,,,22,,切り出し,216.00,19,未加工,取引済み
2-37,220,17,神奈川県藤沢市遠藤,2024/02/09,,,22,,切り出し,205.00,19,未加工,取引済み
2-41,221,17,神奈川県藤沢市遠藤,2024/02/01,,,22,,切り出し,188.00,18,未加工,取引済み
2-54,222,17,神奈川県藤沢市遠藤,2024/02/08,,,22,,切り出し,184.00,20,未加工,取引済み
3-3,223,17,神奈川県藤沢市遠藤,2024/02/01,,,22,,切り出し,194.00,19,未加工,取引済み
3-20,224,17,神奈川県藤沢市遠藤,2024/02/09,,,22,,切り出し,196.00,20,未加工,取引済み
3-28,225,17,神奈川県藤沢市遠藤,2024/02/01,,,22,,切り出し,169.00,20,未加工,取引済み
3-29,226,17,神奈川県藤沢市遠藤,2024/02/06,,,22,,切り出し,186.00,19,未加工,取引済み
3-31,227,17,神奈川県藤沢市遠藤,2024/02/07,,,22,,切り出し,208.00,19,未加工,取引済み
3-33,228,17,神奈川県藤沢市遠藤,2024/02/08,,,22,,切り出し,182.00,19,未加工,取引済み
3-47,229,17,神奈川県藤沢市遠藤,2024/02/01,,,22,,切り出し,177.00,19,未加工,取引済み
3-50,230,17,神奈川県藤沢市遠藤,2024/02/08,,,22,,切り出し,189.00,19,未加工,取引済み
3-54,231,17,神奈川県藤沢市遠藤,2024/02/02,,,22,,切り出し,178.00,20,未加工,取引済み
0-0,232,17,神奈川県藤沢市遠藤,2024/02/10,,,23,,切り出し,404.00,19,未加工,取引済み
0-4,233,17,神奈川県藤沢市遠藤,2024/02/07,,,23,,切り出し,495.00,18,未加工,取引済み
0-46,234,17,神奈川県藤沢市遠藤,2024/02/05,,,23,,切り出し,432.00,19,未加工,取引済み
1-24,235,17,神奈川県藤沢市遠藤,2024/02/05,,,23,,切り出し,492.00,20,未加工,取引済み
2-45,236,17,神奈川県藤沢市遠藤,2024/02/02,,,23,,切り出し,436.00,18,未加工,取引済み
3-24,237,17,神奈川県藤沢市遠藤,2024/02/03,,,23,,切り出し,425.00,20,未加工,取引済み
0-59,238,15,神奈川県藤沢市遠藤,2024/02/03,,,24,,切り出し,"1,198.00",20,未加工,取引済み
2-56,239,15,神奈川県藤沢市遠藤,2024/02/07,,,24,,切り出し,"1,272.00",20,未加工,取引済み
0-43,240,16,神奈川県藤沢市遠藤,2024/02/06,,,25,,切り出し,411.00,20,未加工,取引済み
0-47,241,16,神奈川県藤沢市遠藤,2024/02/02,,,25,,切り出し,416.00,19,未加工,取引済み
0-61,242,16,神奈川県藤沢市遠藤,2024/02/02,,,25,,切り出し,392.00,19,未加工,取引済み
1-26,243,16,神奈川県藤沢市遠藤,2024/02/01,,,25,,切り出し,470.00,20,未加工,取引済み
2-24,244,16,神奈川県藤沢市遠藤,2024/02/06,,,25,,切り出し,433.00,20,未加工,取引済み
3-8,245,16,神奈川県藤沢市遠藤,2024/02/07,,,25,,切り出し,419.00,19,未加工,取引済み
3-15,246,16,神奈川県藤沢市遠藤,2024/02/06,,,25,,切り出し,462.00,19,未加工,取引済み
3-34,247,16,神奈川県藤沢市遠藤,2024/02/08,,,25,,切り出し,497.00,18,未加工,取引済み
