distributionId,mintNum,tokenId,profit,recipient1,valueIncrease1,divident1,recipient2,valueIncrease2,divident2,recipient3,valueIncrease3,divident3,totalValueIncrease
1,1,1,0.785,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,39,0.785,,,,,,,39
2,1,2,0.197,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,10,0.197,,,,,,,10
3,1,3,0.849,0x8d63258F4ee291252bd35e450c91E25B62c0475f,42,0.849,,,,,,,42
4,1,4,0.158,0x8d63258F4ee291252bd35e450c91E25B62c0475f,8,0.158,,,,,,,8
5,1,5,0.276,0x8d63258F4ee291252bd35e450c91E25B62c0475f,14,0.276,,,,,,,14
6,1,6,0.606,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,30,0.606,,,,,,,30
7,1,7,0.246,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,12,0.246,,,,,,,12
8,1,8,0.858,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,43,0.858,,,,,,,43
9,1,9,0.546,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,27,0.546,,,,,,,27
10,1,10,0.317,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,16,0.317,,,,,,,16
11,1,11,0.583,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,29,0.583,,,,,,,29
12,1,12,0.699,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,35,0.699,,,,,,,35
13,1,13,0.489,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,24,0.489,,,,,,,24
14,1,14,0.493,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,25,0.493,,,,,,,25
15,1,15,0.673,0x2B5cA8c6bE3BA3Bd81e93A2c9dD0b31418eCf579,34,0.673,,,,,,,34
16,1,16,0.604,0x2B5cA8c6bE3BA3Bd81e93A2c9dD0b31418eCf579,30,0.604,,,,,,,30
17,1,17,0.269,0x41654eb0105FB506c9Fb837bDfC7568309F9AE4A,13,0.269,,,,,,,13
18,1,18,0.994,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,50,0.994,,,,,,,50
19,1,19,0.533,0x41654eb0105FB506c9Fb837bDfC7568309F9AE4A,27,0.533,,,,,,,27
20,1,20,0.691,0x4903Cdf0727Aa319D9824d850aE9AA72cb17989A,35,0.691,,,,,,,35
