tokenId,originalWoodId,chimeraId,producerId,ownerId,imageUrl,salesPrice,productionLocation,productionDate,productionMethod,processingStatus,salesStatus,treeSpecies,divisionCount,parentId
1,1,,1,15,,"2,785.00",三重県熊野市井戸町,2024/01/19,採取,未加工,取引済み,ヒノキ,6,
2,2,,1,16,,"2,197.00",三重県熊野市井戸町,2024/01/04,採取,未加工,取引済み,ヒノキ,8,
3,3,,2,16,,"2,849.00",高知県長岡郡本山町,2024/01/24,採取,未加工,取引済み,クヌギ,8,
4,4,,2,16,,"2,158.00",高知県長岡郡本山町,2024/01/26,採取,未加工,取引済み,ヒノキ,14,
5,5,,2,17,,"2,276.00",高知県長岡郡本山町,2024/01/08,採取,未加工,取引済み,アカマツ,8,
6,6,,3,17,,"2,606.00",岩手遠野市青笹町糠前,2024/01/04,採取,未加工,取引済み,スギ,7,
7,7,,3,17,,"2,246.00",岩手遠野市青笹町糠前,2024/01/21,採取,未加工,取引済み,コナラ,9,
8,8,,4,17,,"2,858.00",群馬県藤岡市鬼石,2024/01/21,採取,未加工,取引済み,ヒノキ,7,
9,9,,4,16,,"2,546.00",群馬県藤岡市鬼石,2024/01/05,採取,未加工,取引済み,ヒノキ,9,
10,10,,5,16,,"2,317.00",熊本県阿蘇郡南小国町,2024/01/15,採取,未加工,取引済み,スギ,12,
11,11,,6,17,,"2,583.00",北海道上川郡下川町,2024/01/10,採取,未加工,取引済み,ナラ,9,
12,12,,7,17,,"2,699.00",鹿児島県肝属郡錦江町,2024/01/25,採取,未加工,取引済み,タモ,13,
13,13,,8,17,,"2,489.00",岐阜県美濃市曽代,2024/01/12,採取,未加工,取引済み,ヒノキ,7,
14,14,,7,17,,"2,493.00",鹿児島県肝属郡錦江町,2024/01/24,採取,未加工,取引済み,クス,11,
15,15,,9,16,,"2,673.00",長野県大町市平海の口,2024/01/16,採取,未加工,取引済み,ヤマザクラ,5,
16,16,,9,17,,"2,604.00",長野県大町市平海の口,2024/01/01,採取,未加工,取引済み,クリ,5,
